美媒发现，中国看样子要先“飞”一步！|2020年08月19日 23:58|原标题：美媒发现，中国看样子要先“飞”一步！ 责任编辑：祝加贝 
卫健委：感染新冠病毒发病后5天内传染性较强|2020年08月19日 09:19|原标题：卫健委：感染新冠病毒发病后5天内传染性较强 8月19日，国家卫健委发布关于印发新型冠状病毒肺炎诊疗方案（试行第八版）的通知。其中对传染源和传播途径进一步完善，增加“在潜伏期即有传染性，发病后5天内传染性较强”、“接触病毒污染的物品也可造成感染”。 责任编辑：武晓东 
8月18日江苏无新增新冠肺炎确诊病例|2020年08月19日 08:54|原标题：8月18日江苏无新增新冠肺炎确诊病例 来源：江苏卫健委官方微博 8月18日0-24时，无新增确诊病例。截至8月18日24时，全省累计报告确诊病例664例（其中境外输入33例），除9例境外输入确诊病例在定点医院隔离治疗外，其余均已出院。 当日无新增无症状感染者。截至8月18日24时，正在集中隔离和医学管理的无症状感染者6例，均为境外输入。 目前，全省追踪到确诊病例和无症状感染者密切接触者14335人，已解除医学观察14211人，尚有124人正在接受医学观察。 专家提醒：每个人是自己健康的第一责任人。当前多地疫情出现新情况，防控形势仍然严峻复杂。要紧绷疫情防控常态化这根弦，始终保持警惕、严密防范。 一、注意个人卫生，科学佩戴口罩、规范勤洗双手、时常开窗通风、保持社交距离。不随地吐痰、不乱倒垃圾，咳嗽、打喷嚏时用纸巾或肘袖遮掩口鼻。 二、坚持健康饮食，储存和加工食物时，砧板、菜刀、餐具等生熟分开、及时清洗。肉蛋海鲜等食物烧熟煮透。倡导公筷公勺，合理膳食，均衡营养。 三、合理安排出行，减少不必要的聚集。如非必须，尽量不前往疫情中高风险地区。 四、出入农贸市场、批发市场等人员聚集场所时，提高防范意识，加强个人防护，全程佩戴口罩。尽量避开人流高峰，缩短停留时间，减少接触生鱼生肉等食品原料，回家后及时清洁双手。 五、一旦出现发热、干咳、乏力等症状，应立即到就近的发热门诊就诊，并主动告知14天活动轨迹及接触史。就医途中全程佩戴口罩，尽量避免乘坐公共交通工具。 六、主动申请和使用“苏康码”进行健康状况申报。疫情中高风险地区来苏人员应主动向社区或单位报告，并配合开展集中隔离医学观察和新冠病毒核酸检测。如14天内本人或共同居住的家庭成员曾前往疫情中高风险地区，或曾接触过相关地区来苏人员，也应向社区或单位报告。 责任编辑：刘德宾 SN222 
江苏连云港公布3例新增境外输入病例详情|2020年08月19日 08:54|原标题：江苏连云港公布3例新增境外输入病例详情 8月17日0时—24时，经江苏省卫生健康委确认，连云港市新增境外输入新冠肺炎确诊病例3例。连云港卫健委公布了3例新增境外输入病例详细情况。 （总台央视记者 吴睿） 责任编辑：范斯腾 
北京8月18日无新增报告新冠肺炎确诊病例|2020年08月19日 08:35|原标题：北京8月18日无新增报告新冠肺炎确诊病例 来源：首都健康 8月18日0时至24时，无新增报告本地确诊病例、疑似病例和无症状感染者；无新增报告境外输入确诊病例、疑似病例和无症状感染者。 7月27日以来，累计报告大连市疫情关联病例4例，治愈出院3例，在院1例；境外输入病例2例，治愈出院1例，在院1例。 平谷区自有疫情以来无报告病例、延庆区208天、怀柔区194天、顺义区192天、密云区189天、石景山区65天、门头沟区64天、房山区64天、东城区63天、通州区59天、朝阳区58天、西城区57天、海淀区54天、大兴区49天、丰台区44天、昌平区12天。 责任编辑：朱学森 
卫健委印发《新冠病毒核酸10合1混采检测技术规范》|2020年08月19日 08:17|原标题：国家卫健委印发《新冠病毒核酸10合1混采检测技术规范》 国家卫生健康委员会网站8月19日发布《关于印发新冠病毒核酸10合1混采检测技术规范的通知》。通知指出，为指导各地新冠病毒混采检测工作，进一步提升核酸检测能力和效率，针对新冠病毒核酸10合1混采检测（10-in-1 test）技术（指将采集自10人的10支拭子集合于1个采集管中进行核酸检测的方法），制定本规范。全文如下： 山东18日新增境外输入确诊病例1例 无症状感染者1例|2020年08月19日 08:17|原标题：山东昨日新增境外输入确诊病例1例，无症状感染者1例 据山东省卫健委官方微信消息，2020年8月18日0时至24时：山东无本地住院疑似病例、确诊病例。累计报告确诊病例763例，死亡7例，治愈出院756例。 山东无新增境外输入疑似病例，日照市报告孟加拉国输入确诊病例1例。累计报告境外输入确诊病例60例，累计治愈出院37例。 青岛市报告菲律宾输入无症状感染者1例。全省正在隔离观察治疗的无症状感染者18例（均为境外输入）。 目前共追踪到密切接触者24508人，尚有740人正在接受医学隔离观察。 责任编辑：武晓东 
广东昨日新增无症状感染者1例，新增境外输入病例4例|2020年08月19日 08:04|原标题：2020年8月19日广东省新冠肺炎疫情情况 来源：健康广东 8月18日0-24时，全省新增无症状感染者1例，汕尾报告，从纳入密接集中隔离人员中发现，已转定点医院实施医学观察。 新增境外输入确诊病例4例，广州报告，来自埃塞俄比亚2例，来自孟加拉国和加拿大各1例。新增境外输入无症状感染者7例，广州报告2例，分别来自加拿大和沙特阿拉伯；深圳报告3例，来自俄罗斯；阳江报告2例，来自菲律宾。以上均在入境口岸或隔离点发现，入境后即被隔离观察。新增出院2例。 截至8月18日24时，全省累计报告新冠肺炎确诊病例1725例（境外输入329例）。目前在院28例。 责任编辑：范斯腾 
31省区市18日新增17例确诊病例 均为境外输入|2020年08月19日 07:47|原标题：截至8月18日24时新型冠状病毒肺炎疫情最新情况 8月18日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例17例，均为境外输入病例（上海8例，广东4例，浙江2例，陕西2例，山东1例）；无新增死亡病例；无新增疑似病例。 当日新增治愈出院病例43例，解除医学观察的密切接触者2002人，重症病例较前一日减少1例。 境外输入现有确诊病例212例（无重症病例），现有疑似病例2例。累计确诊病例2339例，累计治愈出院病例2127例，无死亡病例。 截至8月18日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例569例（其中重症病例26例），累计治愈出院病例79685例，累计死亡病例4634例，累计报告确诊病例84888例，现有疑似病例2例。累计追踪到密切接触者808005人，尚在医学观察的密切接触者17093人。 31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者14例（境外输入13例）；当日转为确诊病例2例（均为境外输入）；当日解除医学观察23例（境外输入11例）；尚在医学观察无症状感染者345例（境外输入221例）。 累计收到港澳台地区通报确诊病例5092例。其中，香港特别行政区4560例（出院3677例，死亡71例），澳门特别行政区46例（出院46例），台湾地区486例（出院450例，死亡7例）。 责任编辑：柳龙龙 
上海18日新增境外输入确诊病例8例|2020年08月19日 07:46|原标题：上海昨日无新增本地新冠肺炎确诊病例，新增境外输入8例，治愈出院2例 来源：健康上海12320 8月18日0—24时，通过口岸联防联控机制，报告8例境外输入性新冠肺炎确诊病例。新增治愈出院2例，其中来自阿联酋1例，来自新加坡1例。 病例1为中国籍，在菲律宾工作，8月5日自菲律宾出发，当日抵达上海浦东国际机场，入关后即被集中隔离观察，期间出现症状。综合流行病学史、临床症状、实验室检测和影像学检查结果等，诊断为确诊病例。 病例2为中国籍，在台湾探亲，8月14日自台湾出发，当日抵达上海浦东国际机场，入关后即被集中隔离观察，期间出现症状。综合流行病学史、临床症状、实验室检测和影像学检查结果等，诊断为确诊病例。 病例3为中国籍，在新加坡工作，8月14日自新加坡出发，8月15日抵达上海浦东国际机场，入关后即被集中隔离观察，期间出现症状。综合流行病学史、临床症状、实验室检测和影像学检查结果等，诊断为确诊病例。 病例4为中国籍，在美国留学，8月14日自美国出发，经德国转机后于8月16日抵达上海浦东国际机场，因有症状，入关后即被送至指定医疗机构隔离留观。综合流行病学史、临床症状、实验室检测和影像学检查结果等，诊断为确诊病例。 病例5—病例7为中国籍，病例8为印度籍，在英国留学或工作，8月13日自英国出发，经俄罗斯转同一航班后于8月14日抵达上海浦东国际机场，入关后即被集中隔离观察，期间出现症状。综合流行病学史、临床症状、实验室检测和影像学检查结果等，诊断为确诊病例。 8例境外输入性确诊病例已转至定点医疗机构救治，已追踪同航班的密切接触者90人，均已落实集中隔离观察。 8月18日0—24时，无新增本地新冠肺炎确诊病例。 截至8月18日24时，累计报告境外输入性确诊病例508例，治愈出院419例，在院治疗89例，无重症和危重症。现有待排查的疑似病例3例。 截至8月18日24时，累计报告本地确诊病例342例，治愈出院335例，死亡7例。现有待排查的疑似病例0例。 截至8月18日24时，尚在医学观察中的无症状感染者0例。 责任编辑：朱学森 
香港：卫生署唾液样本收集点暂停开放 部分检测延期|2020年08月19日 07:39|原标题：香港：卫生署深喉唾液样本收集点暂停开放，部分新冠检测延期 香港特区政府8月19日早间新闻公报称，卫生署今日（八月十九日）宣布，由于八号或以上热带气旋警告信号现正生效，署方辖下供送交深喉唾液样本作2019冠状病毒检测的13间指定胸肺科及皮肤科诊所收集点将暂停开放。 此外，运输署宣布，由于九号烈风或暴风风力增强信号现正生效，原定于今日（八月十九日）在西贡惠民路西贡壁球场向街渡营办商及其雇员派发2019冠状病毒病（即新冠肺炎）检测套装及收集样本瓶的安排，将会延期至八月二十四日（下星期一）上午十时至下午二时在同一地点举行。 责任编辑：武晓东 
黎巴嫩宣布加强疫情防控措施 使馆提醒民众关注|2020年08月19日 07:38|原标题：黎巴嫩宣布加强疫情防控措施 使馆提醒民众关注 中新网8月19日电 据中国驻黎巴嫩大使馆微信公众号消息，为控制新冠肺炎疫情加速蔓延，黎巴嫩政府决定加强疫情防控措施，主要如下： 8月21日至9月7日期间，停止各类公共聚会和社交活动；每天晚上6时至早上6时实施宵禁；关闭商场、集市、旅游景点、运动场馆、餐厅、咖啡馆、俱乐部、游乐场、网吧等；出入机场须出示机票；出门必须戴口罩。 中国驻黎巴嫩使馆提醒在黎中国公民持续关注当地疫情发展，遵守黎政府各项防控要求，尽量避免外出，注意加强防护，减少感染风险。如出现咳嗽、发烧、咽喉肿痛等症状，请及时通过国内远程医疗平台或致电黎公共卫生部咨询，必要时可拨打急救电话请红十字会派救护车送至定点医院就诊，并请及时通知使馆。 黎巴嫩公共卫生部热线电话 1214 黎巴嫩急救电话 140 外交部全球领事保护与服务应急呼叫中心电话（24小时） +86-10-12308 中国驻黎巴嫩使馆领事保护与协助电话 +961-3-866468 责任编辑：朱学森 
《细胞》杂志：新冠肺炎轻症者可产生强烈T细胞反应|2020年08月19日 07:25|原标题：新冠肺炎轻症者可产生强烈T细胞反应 据物理学家组织网近日报道，研究人员在最新一期《细胞》杂志上报道称，即使没有检测到病毒特异性抗体反应，新冠肺炎轻症患者也会触发强烈的记忆T细胞反应。作者表示，自然接触或感染新冠病毒而产生的记忆T细胞反应，或是预防引发新冠肺炎重症的重要免疫成分。    责任编辑：武晓东 
云南18日无新增确诊病例和无症状感染者 出院1例|2020年08月19日 07:20|原标题：云南18日出院1例，现有境外输入确诊病例4例 据云南省卫健委，8月18日0时至24时，云南省无新增确诊病例和无症状感染者。云南省境外航空输入确诊病例出院1例。现有境外航空输入确诊病例4例、无症状感染者1例，均在定点医疗机构隔离治疗和观察，病情稳定。 责任编辑：武晓东 
中国驻以色列大使馆：90名中国工人在以感染新冠病毒|2020年08月19日 05:39|原标题：中国驻以色列大使馆：90名中国工人在以感染新冠病毒 [环球时报综合报道]中国驻以色列大使馆18日发布消息称，根据以色列当地媒体近日报道及以政府提供的相关信息，佩塔提克瓦市（经常被中国工友称为“北大地瓜”）某中国建筑工人聚居区暴发新冠肺炎疫情，上周五卫生部门对居住于该区域的中国工人进行统一检测，目前已有约90人确诊感染新冠病毒，均为轻症或无症状。消息称，检测结果为阳性的工人已被送至指定酒店隔离或医院治疗，当地政府已将相关区域封锁隔离，检测结果为阴性的工人须在住所继续隔离几天后复检。我使馆提醒在以中国建筑工人切实防范新冠病毒。 责任编辑：祝加贝 
全球消费者信心指数中国居首，专家这样说|2020年08月19日 05:38|原标题：全球消费者信心指数中国居首，专家：符合我国国内经济复苏实际情况 [环球时报记者 赵觉珵]中国经济从新冠肺炎疫情影响中的快速恢复有目共睹。根据国际市场研究机构益普索17日公布的调查结果，全球消费者信心指数在今年6月触底后出现反弹，在参与调查的24国中，中国消费者信心指数为72.9，排名第一。中国商务部研究院国际市场研究所副所长白明18日对《环球时报》记者表示，这一数据符合国内经济复苏的实际情况，是中国在抗疫、推进复工复产等多领域工作的共同成果。 益普索官网公布的调查结果显示，8月份全球消费者信心指数为41.4，比7月上升0.5。本月有7个国家的消费者信心指数增长1.5或更多，其中中国以3.2的增长幅度位列第一，排在其后的是波兰、土耳其、巴西、俄罗斯、意大利和瑞典。 益普索表示，8月是全球消费者信心指数连续上升的第二个月，该指数6月触底后正在反弹。不过，该指数仍比1月份新冠肺炎疫情暴发前的指数低7.2，比其10年来的历史平均水平低近5.5。据介绍，全球消费者信心指数取自24个国家消费者信心指数的平均值。这项调查是基于益普索在线平台对超过17500名75岁以下成人进行的月度调查。 在全球范围内，8月反映消费者对当地经济、金融状况和就业前景的预期指数为52.2，比上个月上升0.7，中国的这一指数上升3.0。表示对工作安全和就业前景充满信心的就业指数为47.2，其中中国增长3.6，位列第一。此外，在代表国家投资环境的投资指数中，中国以2.3的增长位列增幅榜第三，全球这一指数为35。 对于中国的消费复苏状况，一位证券行业人士18日对《环球时报》记者表示，近期，一系列食品、饮料、白酒等消费股的走强显示出市场对于国内消费市场的看好。随着经济在疫情冲击后逐渐回到正常轨道，中国作为全球第一大消费市场的潜力依然会得到持续释放。“现在生活已经完全恢复正常，吃饭、逛街、网购甚至比疫情前还频繁”，在成都工作的段女士18日告诉《环球时报》记者，当地著名景点宽窄巷子、春熙路最近又恢复了拥挤，“吃个火锅也要排长队了”。 益普索的调查结果也与中国官方公布的最新数据趋向一致。国家统计局日前公布的7月份经济运行数据显示，7月社会消费品零售总额同比下降1.1%，降幅比上月收窄0.7个百分点。其中，商品零售额同比增长0.2%，今年以来首次由负转正。网络销售、互联网教育、医疗等快速发展，1至7月实物商品网上零售额同比增长15.7%，增速比1至6月加快。这些数据均显示出中国国内需求侧正逐渐改善。 此外，中国7月份的投资和就业数据也均有向好表现。1至7月固定资产投资同比下降1.6%，降幅比1至6月收窄1.5个百分点。7月，全国城镇调查失业率为5.7%，与上月持平，就业形势总体稳定。25至59岁就业主体人群的调查失业率为5%，比上个月下降0.2个百分点。 白明向《环球时报》记者分析称，消费信心恢复的基础首先是新冠肺炎疫情得到有效控制。虽然一些城市疫情出现反弹，但各地政府都迅速、有效地采取相应措施，迅速消除影响，这让消费者也敢于消费、放心消费，消费信心得到增强。此外，国家政策从“六稳”到“六保”，推出了税费减免等一系列支持政策，稳定了就业，这也为消费提供了收入基础和稳定预期。可以说，消费是中国经济向好发展的一个集中反映。 责任编辑：祝加贝 
